task,participant_id,dominant_hand,hand_used,mode,mapping,trial,block,block_type,condition,key_correct,key_response,joy_correct,joy_response,correct,correct_shape,correct_line,incorrect_shape,incorrect_line,chosen_shape,chosen_line,unchosen_shape,unchosen_line,correct_count,trial_count,reaction_time,start_time,end_time,global_start_time,global_end_time
ied,rayos01,right,right,full,1,1,p1,practice,big,NA,NA,up,up,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,1,1010,2026-03-07 14:37:10,2026-03-07 14:37:19,2026-03-07 14:36:49,2026-03-07 14:37:19
ied,rayos01,right,right,full,1,2,p1,practice,big,NA,NA,up,up,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,2,728,2026-03-07 14:37:10,2026-03-07 14:37:19,2026-03-07 14:36:49,2026-03-07 14:37:19
