task,participant_id,dominant_hand,hand_used,mode,mapping,trial,block,block_type,condition,key_correct,key_response,joy_correct,joy_response,correct,correct_shape,correct_line,incorrect_shape,incorrect_line,chosen_shape,chosen_line,unchosen_shape,unchosen_line,correct_count,trial_count,start_time,end_time,global_start_time,global_end_time
ied,tres03,right,right,full,1,1,p1,practice,big,right,right,NA,NA,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,1,2026-03-06 15:20:08,2026-03-06 15:20:21,2026-03-06 15:19:47,2026-03-06 15:20:21
ied,tres03,right,right,full,1,2,p1,practice,big,right,right,NA,NA,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,2,2026-03-06 15:20:08,2026-03-06 15:20:21,2026-03-06 15:19:47,2026-03-06 15:20:21
ied,tres03,right,right,full,1,3,p1,practice,big,up,up,NA,NA,1,circle_big,NA,circle_little,NA,circle_big,NA,circle_little,NA,NA,3,2026-03-06 15:20:08,2026-03-06 15:20:21,2026-03-06 15:19:47,2026-03-06 15:20:21
ied,tres03,right,right,full,1,4,p1,practice,big,down,up,NA,NA,0,circle_big,NA,circle_little,NA,circle_little,NA,circle_big,NA,NA,4,2026-03-06 15:20:08,2026-03-06 15:20:21,2026-03-06 15:19:47,2026-03-06 15:20:21
