task,participant_id,dominant_hand,hand_used,mode,mapping,trial,block,type,condition,key_correct,key_response,stimulus_key_response,isi_key_response,joy_correct,joy_response,stimulus_joy_response,isi_joy_response,correct,reaction_time,error_type,start_time,end_time,global_start_time,global_end_time
ccs,trakas02,right,right,demo,2,1,p1,practice,motor,NA,NA,NA,NA,right,NA,NA,NA,0,0,no_response,2026-03-07-21-39-20,2026-03-07-21-39-22,2026-03-07-21-39-11,2026-03-07-21-39-22
ccs,trakas02,right,right,demo,2,2,p1,practice,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-39-20,2026-03-07-21-39-24,2026-03-07-21-39-11,2026-03-07-21-39-24
ccs,trakas02,right,right,demo,2,3,p1,practice,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-39-20,2026-03-07-21-39-26,2026-03-07-21-39-11,2026-03-07-21-39-26
ccs,trakas02,right,right,demo,2,4,p1,practice,motor,NA,NA,NA,NA,right,NA,NA,NA,0,0,no_response,2026-03-07-21-39-20,2026-03-07-21-39-28,2026-03-07-21-39-11,2026-03-07-21-39-28
ccs,trakas02,right,right,demo,2,1,b1,experimental,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-39-30,2026-03-07-21-39-32,2026-03-07-21-39-11,2026-03-07-21-39-32
ccs,trakas02,right,right,demo,2,2,b1,experimental,motor,NA,NA,NA,NA,right,NA,NA,NA,0,0,no_response,2026-03-07-21-39-30,2026-03-07-21-39-34,2026-03-07-21-39-11,2026-03-07-21-39-34
ccs,trakas02,right,right,demo,2,3,b1,experimental,motor,NA,NA,NA,NA,right,NA,NA,NA,0,0,no_response,2026-03-07-21-39-30,2026-03-07-21-39-36,2026-03-07-21-39-11,2026-03-07-21-39-36
ccs,trakas02,right,right,demo,2,4,b1,experimental,motor,NA,NA,NA,NA,right,NA,NA,NA,0,0,no_response,2026-03-07-21-39-30,2026-03-07-21-39-37,2026-03-07-21-39-11,2026-03-07-21-39-37
ccs,trakas02,right,right,demo,2,1,p2,practice,motor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-07-21-39-43,2026-03-07-21-39-45,2026-03-07-21-39-11,2026-03-07-21-39-45
ccs,trakas02,right,right,demo,2,2,p2,practice,motor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-07-21-39-43,2026-03-07-21-39-47,2026-03-07-21-39-11,2026-03-07-21-39-47
ccs,trakas02,right,right,demo,2,3,p2,practice,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-39-43,2026-03-07-21-39-49,2026-03-07-21-39-11,2026-03-07-21-39-49
ccs,trakas02,right,right,demo,2,4,p2,practice,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-39-43,2026-03-07-21-39-50,2026-03-07-21-39-11,2026-03-07-21-39-50
ccs,trakas02,right,right,demo,2,1,b2,experimental,motor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-07-21-39-52,2026-03-07-21-39-54,2026-03-07-21-39-11,2026-03-07-21-39-54
ccs,trakas02,right,right,demo,2,2,b2,experimental,motor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-07-21-39-52,2026-03-07-21-39-56,2026-03-07-21-39-11,2026-03-07-21-39-56
ccs,trakas02,right,right,demo,2,3,b2,experimental,motor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-39-52,2026-03-07-21-39-57,2026-03-07-21-39-11,2026-03-07-21-39-57
ccs,trakas02,right,right,demo,2,4,b2,experimental,motor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-07-21-39-52,2026-03-07-21-39-59,2026-03-07-21-39-11,2026-03-07-21-39-59
ccs,trakas02,right,right,demo,2,1,p3,practice,sensorimotor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-07-21-40-02,2026-03-07-21-40-04,2026-03-07-21-39-11,2026-03-07-21-40-04
ccs,trakas02,right,right,demo,2,2,p3,practice,sensorimotor,NA,NA,NA,NA,right,NA,NA,NA,0,0,no_response,2026-03-07-21-40-02,2026-03-07-21-40-07,2026-03-07-21-39-11,2026-03-07-21-40-07
ccs,trakas02,right,right,demo,2,3,p3,practice,sensorimotor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-40-02,2026-03-07-21-40-08,2026-03-07-21-39-11,2026-03-07-21-40-08
ccs,trakas02,right,right,demo,2,4,p3,practice,sensorimotor_catch,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,2026-03-07-21-40-02,2026-03-07-21-40-10,2026-03-07-21-39-11,2026-03-07-21-40-10
ccs,trakas02,right,right,demo,2,5,p3,practice,sensorimotor,NA,NA,NA,NA,left,NA,NA,NA,0,0,no_response,2026-03-07-21-40-02,2026-03-07-21-40-13,2026-03-07-21-39-11,2026-03-07-21-40-13
