participant_id,version,mode,item_number,block,object_id,rotation_angle,different,condition,difficulty,stimuli_path,key_correct,key_response,correct,reaction_time_ms,start_time,end_time,break_duration_ms
alvin,1,demo,1,practice,4,100,True,different,100,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum-Amanda/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/3.jpg,k,d,0,378,2025-08-03 21:45:36,2025-08-03 21:45:41,0
alvin,1,demo,3,practice,33,50,True,different,50,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum-Amanda/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/2.jpg,k,k,1,314,2025-08-03 21:45:36,2025-08-03 21:45:43,0
alvin,1,demo,5,practice,46,150,False,same,150,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum-Amanda/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/4.jpg,d,k,0,452,2025-08-03 21:45:36,2025-08-03 21:45:46,0
alvin,1,demo,7,practice,26,150,True,different,150,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum-Amanda/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/5.jpg,k,k,1,876,2025-08-03 21:45:36,2025-08-03 21:45:48,0
alvin,1,demo,9,practice,32,50,True,different,50,/Users/alvinm/Documents/Documents/Academic/Research/CognAC/cerebellum-Amanda/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/1.jpg,k,k,1,854,2025-08-03 21:45:36,2025-08-03 21:45:51,0
