chirino2,2,full,1,practice,26,150,True,different,150,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/5.jpg,d,k,0,643,2025-08-18 04:43:01,2025-08-18 04:43:22,0
chirino2,2,full,3,practice,32,50,True,different,50,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/1.jpg,d,d,1,1488,2025-08-18 04:43:01,2025-08-18 04:43:26,0
chirino2,2,full,5,practice,46,150,False,same,150,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/4.jpg,k,d,0,2561,2025-08-18 04:43:01,2025-08-18 04:43:30,0
chirino2,2,full,7,practice,4,100,True,different,100,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/3.jpg,d,d,1,1553,2025-08-18 04:43:01,2025-08-18 04:43:33,0
chirino2,2,full,9,practice,33,50,True,different,50,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/2.jpg,d,d,1,1592,2025-08-18 04:43:01,2025-08-18 04:43:37,0
chirino2,2,full,6,block1,31,150,False,same,150,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/test1_images/1.jpg,k,k,1,3393,2025-08-18 04:43:01,2025-08-18 04:43:46,0
chirino2,2,full,8,block1,23,0,True,different,0,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/test1_images/135.jpg,d,d,1,1178,2025-08-18 04:43:01,2025-08-18 04:43:48,0
chirino2,2,full,10,block1,10,100,False,same,100,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/test1_images/55.jpg,k,k,1,1504,2025-08-18 04:43:01,2025-08-18 04:43:51,0
chirino2,2,full,1,practice,33,50,True,different,50,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/2.jpg,d,k,0,1423,2025-08-18 04:44:44,2025-08-18 04:45:05,0
chirino2,2,full,3,practice,32,50,True,different,50,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/1.jpg,d,k,0,576,2025-08-18 04:44:44,2025-08-18 04:45:07,0
chirino2,2,full,5,practice,26,150,True,different,150,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/5.jpg,d,k,0,404,2025-08-18 04:44:44,2025-08-18 04:45:09,0
chirino2,2,full,7,practice,46,150,False,same,150,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/4.jpg,k,k,1,556,2025-08-18 04:44:44,2025-08-18 04:45:11,0
chirino2,2,full,9,practice,4,100,True,different,100,/Users/amandachirino/Desktop/cerebellum-main/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/3.jpg,d,k,0,508,2025-08-18 04:44:44,2025-08-18 04:45:14,0
