participant_id,version,mode,item_number,block,type,object_id,rotation_angle,different,condition,difficulty,stimuli_path,key_correct,key_response,correct,reaction_time_ms,start_time,end_time,break_duration_ms
amanda32,2,full,1,practice,practice,4,100,True,different,100,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/3.jpg,d,k,0,2900,2025-08-17 21:59:20,2025-08-17 22:01:52,0
amanda32,2,full,3,practice,practice,26,150,True,different,150,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/5.jpg,d,k,0,3437,2025-08-17 21:59:20,2025-08-17 22:01:57,0
amanda32,2,full,5,practice,practice,33,50,True,different,50,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/2.jpg,d,,0,7500,2025-08-17 21:59:20,2025-08-17 22:02:06,0
amanda32,2,full,7,practice,practice,32,50,True,different,50,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/1.jpg,d,d,1,6142,2025-08-17 21:59:20,2025-08-17 22:02:14,0
amanda32,2,full,9,practice,practice,46,150,False,same,150,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/tridimensional_mental_rotation/stimuli/images/demo_images/4.jpg,k,,0,7500,2025-08-17 21:59:20,2025-08-17 22:02:23,0
amanda32,2,full,6,block1,test,31,150,False,same,150,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/tridimensional_mental_rotation/stimuli/images/test1_images/1.jpg,k,k,1,4179,2025-08-17 21:59:20,2025-08-17 22:02:38,0
amanda32,2,full,8,block1,test,7,0,True,different,0,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/tridimensional_mental_rotation/stimuli/images/test1_images/172.jpg,d,d,1,4739,2025-08-17 21:59:20,2025-08-17 22:02:44,0
amanda32,2,full,10,block1,test,10,100,False,same,100,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/tridimensional_mental_rotation/stimuli/images/test1_images/55.jpg,k,k,1,2565,2025-08-17 21:59:20,2025-08-17 22:02:47,0
amanda32,2,full,12,block1,test,22,150,False,same,150,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/tridimensional_mental_rotation/stimuli/images/test1_images/130.jpg,k,k,1,2145,2025-08-17 21:59:20,2025-08-17 22:02:50,0
amanda32,2,full,14,block1,test,44,50,False,same,50,/Users/amandachirino/Desktop/cerebellum-main_amanda16Agust2015/mental_rotation/tridimensional_mental_rotation/stimuli/images/test1_images/71.jpg,k,k,1,3515,2025-08-17 21:59:20,2025-08-17 22:02:54,0
