participant_id,valid,block,item_number,type,delay_time,condition,difficulty,reaction_time,error_type,fixation_cross_key_response,fixation_cross_reaction_time_ms,response_key_response,response_reaction_time_ms,ISI_key_response,ISI_reaction_time_ms,reaction_time_ms
alvin,False,practice,1,actual,1124,motor,1124,,premature_error,v,901,v,585,,,585
alvin,False,practice,2,actual,890,motor,890,,,,,v,310,,,310
alvin,False,practice,3,actual,1146,motor,1146,,,,,v,245,,,245
alvin,False,practice,4,actual,901,motor,901,,,,,v,224,,,224
alvin,False,practice,5,actual,954,motor,954,,,,,v,223,,,223
alvin,False,practice,6,actual,1051,motor,1051,,,,,v,236,,,236
alvin,False,practice,7,catch,853,motor,853,,catch_delay_error,,,,,v,301,
alvin,False,practice,8,actual,933,motor,933,,,,,v,255,,,255
alvin,False,practice,9,actual,822,motor,822,,,,,v,236,,,236
alvin,False,practice,10,actual,980,motor,980,,,,,v,312,,,312
