participant_id,valid,block,item_number,type,delay_time,condition,difficulty,reaction_time,error_type,fixation_cross_key_response,fixation_cross_reaction_time_ms,response_key_response,response_reaction_time_ms,ISI_key_response,ISI_reaction_time_ms,reaction_time_ms
alvin,False,practice,1,actual,1180,motor,1180,,,,,v,271,,,271
alvin,False,practice,2,actual,1166,motor,1166,,,,,v,493,,,493
alvin,False,practice,3,actual,1041,motor,1041,,,,,v,617,,,617
alvin,False,practice,4,actual,1056,motor,1056,,,,,v,554,,,554
alvin,False,practice,5,actual,1029,motor,1029,,,,,v,409,,,409
alvin,False,practice,6,catch,1074,motor,1074,,catch_delay_error,,,,,v,312,
alvin,False,practice,7,actual,914,motor,914,,,,,v,341,,,341
alvin,False,practice,8,actual,826,motor,826,,,,,v,276,,,276
alvin,False,practice,9,actual,943,motor,943,,,,,v,249,,,249
alvin,False,practice,10,actual,1039,motor,1039,,,,,v,414,,,414
