task,participant_id,dominant_hand,hand_used,mode,mapping,list,trial,block,block_type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,item_original,sentence,last_word,meaningful,number_letters,word_count,word_frequency,cloze_probability,original_dataset,spelling_modified,start_time,end_time
SD,letra01,right,right,full,1,A,1,p1,practice,Practice,NA,NA,right,right,1,903,14,Andrea watered her garden with a small,bear,False,4,7,none,0.45,peele,no,2026-03-07 22:48:24,2026-03-07 22:48:29
SD,letra01,right,right,full,1,A,2,p1,practice,Practice,NA,NA,right,left,0,1098,7,The crime rate has gone up this,banana,False,6,7,none,0.81,block_baldwin,no,2026-03-07 22:48:30,2026-03-07 22:48:35
SD,letra01,right,right,full,1,A,3,p1,practice,Practice,NA,NA,left,right,0,465,1,In the evening grandpa smokes using his,pipe,True,4,7,none,0.96,peele,no,2026-03-07 22:48:37,2026-03-07 22:48:41
SD,letra01,right,right,full,1,A,4,p1,practice,Practice,NA,NA,left,left,1,803,4,She made herself a sandwich and chips for,lunch,True,5,8,none,0.9,block_baldwin,no,2026-03-07 22:48:42,2026-03-07 22:48:48
SD,letra01,right,right,full,1,A,5,p1,practice,Practice,NA,NA,left,right,0,1190,9,The couple's trip was ruined when it began to,rain,True,4,9,none,0.85,peele,no,2026-03-07 22:48:49,2026-03-07 22:48:55
SD,letra01,right,right,full,1,A,6,p1,practice,Practice,NA,NA,right,left,0,869,6,The janitor accidentally spilled some water on the,moon,False,4,8,none,0.88,block_baldwin,no,2026-03-07 22:48:57,2026-03-07 22:49:02
SD,letra01,right,right,full,1,A,7,p1,practice,Practice,NA,NA,left,left,1,1608,131,Claire claimed motherhood was the hardest job she ever,accomplished,True,12,9,none,0.82,peele,no,2026-03-07 22:49:03,2026-03-07 22:49:10
SD,letra01,right,right,full,1,A,8,p1,practice,Practice,NA,NA,left,left,1,1299,117,The teacher was afraid of germs and getting,infected,True,8,8,none,0.92,peele,no,2026-03-07 22:49:11,2026-03-07 22:49:17
SD,letra01,right,right,full,1,A,9,p1,practice,Practice,NA,NA,left,left,1,1880,86,"While his parents vacationed, the kid threw a huge",fit,True,3,9,none,0.84,peele,no,2026-03-07 22:49:18,2026-03-07 22:49:25
