participant_id,trial_number,block,condition,version,difficulty,key_correct,hand,key_response,correct,error_type,iv,response_time,start_time,end_time
JJJJ01,1,PRACTICE1,duration,1,SAME,d,,,0,response_error,0.56 ms,3645.00 ms,2025-10-10T14:58:09.653131,2025-10-10T14:58:22.656028
JJJJ01,2,PRACTICE1,duration,1,HARD,k,,d,0,response_error,0.24 ms,1915.00 ms,2025-10-10T14:58:09.653131,2025-10-10T14:58:26.600998
