letter_name,rotation_angle,mirrored,condition,difficulty,stimuli_path,key_correct
F,-45,True,mirrored,45,./stimuli/images/demo_images/1.png,m
R,-135,True,mirrored,135,./stimuli/images/demo_images/2.png,m
J,-135,False,normal,135,./stimuli/images/demo_images/3.png,v
J,135,False,normal,135,./stimuli/images/demo_images/4.png,v
F,-75,False,normal,75,./stimuli/images/demo_images/5.png,v
