task,participant_id,language,group,session,dominant_hand,hand_used,mode,mapping,trial,block,trial_type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,stimulus_path,start_time,end_time,tap_num,pace_ms,synch_sound_ticks,response_ticks,intervals
TAP,demo,,1,1,right,right,demo,1,1,b1,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-55,2026-05-05_13-31-00,6,550,NA,37063,233
TAP,demo,,1,1,right,right,demo,1,1,b1,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-55,2026-05-05_13-31-00,7,550,NA,37423,360
TAP,demo,,1,1,right,right,demo,1,1,b1,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-55,2026-05-05_13-31-00,8,550,NA,37721,298
TAP,demo,,1,1,right,right,demo,1,1,b1,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-30-55,2026-05-05_13-31-00,9,550,NA,37925,204
TAP,demo,,1,1,right,right,demo,1,2,b1,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-01,2026-05-05_13-31-05,1,550,39561,39564,NA
TAP,demo,,1,1,right,right,demo,1,2,b1,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-01,2026-05-05_13-31-05,2,550,40113,40606,1042
TAP,demo,,1,1,right,right,demo,1,2,b1,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-01,2026-05-05_13-31-05,3,550,40664,41208,602
TAP,demo,,1,1,right,right,demo,1,2,b1,experimental,synchronized,space,FALSE,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-01,2026-05-05_13-31-05,4,550,41214,NA,NA
TAP,demo,,1,1,right,right,demo,1,2,b1,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-01,2026-05-05_13-31-05,5,550,41766,42286,NA
TAP,demo,,1,1,right,right,demo,1,2,b1,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-01,2026-05-05_13-31-05,6,550,NA,42434,NA
TAP,demo,,1,1,right,right,demo,1,2,b1,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-01,2026-05-05_13-31-05,7,550,NA,42654,220
TAP,demo,,1,1,right,right,demo,1,2,b1,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-01,2026-05-05_13-31-05,8,550,NA,42889,235
TAP,demo,,1,1,right,right,demo,1,2,b1,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-01,2026-05-05_13-31-05,9,550,NA,43092,203
TAP,demo,,1,1,right,right,demo,1,2,b1,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-01,2026-05-05_13-31-05,10,550,NA,43298,206
TAP,demo,,1,1,right,right,demo,1,3,b1,experimental,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-06,2026-05-05_13-31-11,1,550,44951,45164,NA
TAP,demo,,1,1,right,right,demo,1,3,b1,experimental,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-06,2026-05-05_13-31-11,2,550,45502,45616,452
TAP,demo,,1,1,right,right,demo,1,3,b1,experimental,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-06,2026-05-05_13-31-11,3,550,46053,46075,459
TAP,demo,,1,1,right,right,demo,1,3,b1,experimental,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-06,2026-05-05_13-31-11,4,550,46605,46615,540
TAP,demo,,1,1,right,right,demo,1,3,b1,experimental,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-06,2026-05-05_13-31-11,5,550,NA,47191,NA
TAP,demo,,1,1,right,right,demo,1,3,b1,experimental,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-06,2026-05-05_13-31-11,6,550,NA,47738,547
TAP,demo,,1,1,right,right,demo,1,3,b1,experimental,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-06,2026-05-05_13-31-11,7,550,NA,48268,530
TAP,demo,,1,1,right,right,demo,1,3,b1,experimental,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-06,2026-05-05_13-31-11,8,550,NA,48768,500
TAP,demo,,1,1,right,right,demo,1,3,b1,experimental,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-06,2026-05-05_13-31-11,9,550,NA,49345,577
TAP,demo,,1,1,right,right,demo,1,4,b1,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-12,2026-05-05_13-31-15,1,550,50985,51281,NA
