participant_id,dominant_hand,used_hand,mode,version,trial,block,type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time_ms,start_time,end_time,cloze_probability,meaningful
demo601,right,right,demo,1,1,p1,p1,switching,d,k,NA,NA,0,,2026-02-06T12:27:38.584821,2026-02-06T12:27:54.324651,0.41,True
demo601,right,right,demo,1,2,p1,p1,predictable,d,k,NA,NA,0,,2026-02-06T12:27:38.584821,2026-02-06T12:28:00.038372,0.88,True
demo601,right,right,demo,1,3,p1,p1,predictable,d,k,NA,NA,0,,2026-02-06T12:27:38.584821,2026-02-06T12:28:08.666958,0.82,True
demo601,right,right,demo,1,4,p1,p1,predictable,d,k,NA,NA,0,,2026-02-06T12:27:38.584821,2026-02-06T12:28:14.535853,0.87,True
demo601,right,right,demo,1,5,p1,p1,switching,d,k,NA,NA,0,,2026-02-06T12:27:38.584821,2026-02-06T12:28:21.882943,0.34,True
demo601,right,right,demo,1,6,p1,p1,switching,d,k,NA,NA,0,,2026-02-06T12:27:38.584821,2026-02-06T12:28:29.776358,0.43,True
demo601,right,right,demo,1,7,p1,p1,meaningless,k,k,NA,NA,1,,2026-02-06T12:27:38.584821,2026-02-06T12:28:37.118723,0.35,False
demo601,right,right,demo,1,8,p1,p1,meaningless,k,k,NA,NA,1,,2026-02-06T12:27:38.584821,2026-02-06T12:28:43.923823,0.36,False
demo601,right,right,demo,1,9,p1,p1,predictable,d,k,NA,NA,0,,2026-02-06T12:27:38.584821,2026-02-06T12:28:53.950110,0.92,True
demo601,right,right,demo,1,10,p1,p1,predictable,d,k,NA,NA,0,,2026-02-06T12:27:38.584821,2026-02-06T12:29:00.227438,0.84,True
