participant_id,dominant_hand,used_hand,mode,version,trial,block,type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,start_time,end_time,cloze_probability,meaningful
actual0101,right,right,actual,1,1,p1,practice,meaningless,k,d,NA,NA,0,884,2026-02-06T13:01:39.637315,2026-02-06T13:01:58.068316,0.35,False
actual0101,right,right,actual,1,2,p1,practice,predictable,d,d,NA,NA,1,471,2026-02-06T13:01:39.637315,2026-02-06T13:02:02.757342,0.88,True
actual0101,right,right,actual,1,3,p1,practice,predictable,d,d,NA,NA,1,656,2026-02-06T13:01:39.637315,2026-02-06T13:02:07.638118,0.87,True
