task,participant_id,dominant_hand,used_hand,mode,version,trial,block,type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,start_time,end_time,cloze_probability,meaningful
SD,keydemo01,right,right,demo,1,1,p1,practice,Practice,d,d,NA,NA,1,846,2026-02-13T13:08:54.638020,2026-02-13T13:09:12.606410,0.85,True
SD,keydemo01,right,right,demo,1,2,p1,practice,Practice,k,k,NA,NA,1,950,2026-02-13T13:08:54.638020,2026-02-13T13:09:18.328332,0.48,False
