task,participant_id,dominant_hand,used_hand,mode,version,trial,block,type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,start_time,end_time,cloze_probability,meaningful
SD,demoooo01,right,right,demo,1,1,p1,practice,Practice,NA,NA,right,right,1,3346,2026-02-13T13:21:25.240116,2026-02-13T13:21:46.307871,0.45,False
SD,demoooo01,right,right,demo,1,2,b1,experimental,Switching,NA,NA,right,right,0,2252,2026-02-13T13:21:25.240116,2026-02-13T13:21:55.881439,0.88,True
SD,demoooo01,right,right,demo,1,3,b1,experimental,Predictable,d,k,NA,NA,0,56,2026-02-13T13:21:25.240116,2026-02-13T13:22:00.379793,0.88,True
SD,demoooo01,right,right,demo,1,4,b1,experimental,Predictable,d,d,NA,NA,1,109,2026-02-13T13:21:25.240116,2026-02-13T13:22:04.306829,0.89,True
SD,demoooo01,right,right,demo,1,5,b2,experimental,Predictable,d,k,NA,NA,0,55,2026-02-13T13:21:25.240116,2026-02-13T13:22:10.571527,0.81,True
SD,demoooo01,right,right,demo,1,6,b2,experimental,Meaningless,k,k,NA,NA,1,99,2026-02-13T13:21:25.240116,2026-02-13T13:22:15.435990,0.92,False
SD,demoooo01,right,right,demo,1,7,b2,experimental,Switching,d,d,NA,NA,1,92,2026-02-13T13:21:25.240116,2026-02-13T13:22:20.324387,0.98,True
