participant_id,dominant_hand,used_hand,mode,version,trial,block,type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time_ms,start_time,end_time,predictability,cloze_probability,meaningful
demo3_01,right,right,demo,1,1,p1,p1,meaningless,k,k,NA,NA,1,,2026-02-06T12:00:12.201551,2026-02-06T12:00:29.589028,low,0.35,False
demo3_01,right,right,demo,1,2,p1,p1,predictable,d,k,NA,NA,0,,2026-02-06T12:00:12.201551,2026-02-06T12:00:35.696912,high,0.88,True
demo3_01,right,right,demo,1,3,p1,p1,switching,d,k,NA,NA,0,,2026-02-06T12:00:12.201551,2026-02-06T12:00:43.667964,low,0.41,True
demo3_01,right,right,demo,1,4,p1,p1,predictable,d,k,NA,NA,0,,2026-02-06T12:00:12.201551,2026-02-06T12:00:50.637905,high,0.84,True
demo3_01,right,right,demo,1,5,p1,p1,meaningless,k,k,NA,NA,1,,2026-02-06T12:00:12.201551,2026-02-06T12:00:58.445878,low,0.36,False
demo3_01,right,right,demo,1,6,p1,p1,switching,d,k,NA,NA,0,,2026-02-06T12:00:12.201551,2026-02-06T12:01:06.634760,low,0.43,True
demo3_01,right,right,demo,1,7,p1,p1,predictable,d,k,NA,NA,0,,2026-02-06T12:00:12.201551,2026-02-06T12:01:14.143648,high,0.82,True
demo3_01,right,right,demo,1,8,p1,p1,switching,d,k,NA,NA,0,,2026-02-06T12:00:12.201551,2026-02-06T12:01:21.529474,low,0.34,True
demo3_01,right,right,demo,1,9,p1,p1,predictable,d,k,NA,NA,0,,2026-02-06T12:00:12.201551,2026-02-06T12:01:30.148427,high,0.87,True
demo3_01,right,right,demo,1,10,p1,p1,predictable,d,k,NA,NA,0,,2026-02-06T12:00:12.201551,2026-02-06T12:01:38.794324,high,0.92,True
