task,participant_id,dominant_hand,used_hand,mode,version,trial,block,type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,start_time,end_time,cloze_probability,meaningful
SD,mydemo01,right,right,,1,1,p1,practice,Practice,NA,NA,left,left,1,1059,2026-02-13T12:50:40.630746,2026-02-13T12:51:13.768575,0.45,True
SD,mydemo01,right,right,,1,2,p1,practice,Practice,NA,NA,right,right,0,936,2026-02-13T12:50:40.630746,2026-02-13T12:51:22.034318,0.36,True
SD,mydemo01,right,right,,1,3,p1,practice,Practice,NA,NA,right,right,1,1332,2026-02-13T12:50:40.630746,2026-02-13T12:51:29.664572,0.32,False
SD,mydemo01,right,right,,1,4,p1,practice,Practice,NA,NA,left,left,1,1436,2026-02-13T12:50:40.630746,2026-02-13T12:51:37.380230,0.35,True
