task,participant_id,dominant_hand,hand_used,mode,mapping,trial,block,block_type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,start_time,end_time,cloze_probability,meaningful
SD,demosentence01,right,right,demo,1,1,p1,practice,Practice,d,d,NA,NA,1,718,2026-02-19 02:14:12,2026-02-19 02:14:17,0.92,True
SD,demosentence01,right,right,demo,1,2,b1,experimental,Meaningless,k,k,NA,NA,1,758,2026-02-19 02:14:24,2026-02-19 02:14:29,0.81,False
SD,demosentence01,right,right,demo,1,3,b1,experimental,Meaningless,k,k,NA,NA,1,752,2026-02-19 02:14:30,2026-02-19 02:14:35,0.96,False
SD,demosentence01,right,right,demo,1,4,b1,experimental,Meaningless,k,k,NA,NA,1,691,2026-02-19 02:14:36,2026-02-19 02:14:42,0.91,False
SD,demosentence01,right,right,demo,1,5,b2,experimental,Meaningless,k,k,NA,NA,1,792,2026-02-19 02:14:49,2026-02-19 02:14:55,0.9,False
SD,demosentence01,right,right,demo,1,6,b2,experimental,Switching,d,d,NA,NA,1,2247,2026-02-19 02:14:55,2026-02-19 02:15:01,0.82,True
SD,demosentence01,right,right,demo,1,7,b2,experimental,Predictable,d,d,NA,NA,1,1335,2026-02-19 02:15:02,2026-02-19 02:15:08,0.86,True
