task,participant_id,dominant_hand,used_hand,mode,version,trial,block,type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,start_time,end_time,cloze_probability,meaningful
SD,demo8801,right,right,demo,1,1,p1,practice,predictable,d,,NA,NA,timeout,4000,2026-02-06T18:25:45.903180,2026-02-06T18:26:03.632142,0.87,True
SD,demo8801,right,right,demo,1,2,p1,practice,switching,d,d,NA,NA,1,761,2026-02-06T18:25:45.903180,2026-02-06T18:26:10.179511,0.34,True
SD,demo8801,right,right,demo,1,3,p1,practice,predictable,d,k,NA,NA,0,119,2026-02-06T18:25:45.903180,2026-02-06T18:26:15.047458,0.84,True
SD,demo8801,right,right,demo,1,4,b1,experimental,switching,d,,NA,NA,timeout,4000,2026-02-06T18:25:45.903180,2026-02-06T18:26:25.612847,0.44,True
