participant_id,trial_number,block,type,condition,version,difficulty,correct,response_time_ms,error_type,start_time,end_time
amanda300,1,PRACTICE1,1-back,1-back,2,1-back,nogo,2512,response error,2025-10-12T15:20:43.852991,2025-10-12T15:21:08.292680
amanda300,2,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:21:13.313856
amanda300,3,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:21:18.325874
amanda300,4,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:21:23.335862
amanda300,5,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:21:28.342772
amanda300,6,PRACTICE1,1-back,1-back,2,1-back,same,770,,2025-10-12T15:20:43.852991,2025-10-12T15:21:32.351678
amanda300,7,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:21:37.357823
amanda300,8,PRACTICE1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:21:42.368663
amanda300,9,PRACTICE1,1-back,1-back,2,1-back,same,3000,no response error,2025-10-12T15:20:43.852991,2025-10-12T15:21:47.381519
amanda300,10,PRACTICE1,1-back,1-back,2,1-back,same,690,,2025-10-12T15:20:43.852991,2025-10-12T15:21:51.396425
amanda300,11,BLOCK1,1-back,1-back,2,1-back,nogo,,,2025-10-12T15:20:43.852991,2025-10-12T15:22:10.475321
amanda300,12,BLOCK1,1-back,1-back,2,1-back,same,615,,2025-10-12T15:20:43.852991,2025-10-12T15:22:14.481196
amanda300,13,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:22:18.489151
amanda300,14,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:22:22.497197
amanda300,15,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:22:26.504150
amanda300,16,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:22:30.514048
amanda300,17,BLOCK1,1-back,1-back,2,1-back,same,483,,2025-10-12T15:20:43.852991,2025-10-12T15:22:34.523004
amanda300,18,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:22:38.533965
amanda300,19,BLOCK1,1-back,1-back,2,1-back,same,395,,2025-10-12T15:20:43.852991,2025-10-12T15:22:42.542911
amanda300,20,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:22:46.556892
amanda300,21,BLOCK1,1-back,1-back,2,1-back,same,435,,2025-10-12T15:20:43.852991,2025-10-12T15:22:50.561872
amanda300,22,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:22:54.573797
amanda300,23,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:22:58.580769
amanda300,24,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:23:02.589724
amanda300,25,BLOCK1,1-back,1-back,2,1-back,same,3000,no response error,2025-10-12T15:20:43.852991,2025-10-12T15:23:06.597798
amanda300,26,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:23:10.605645
amanda300,27,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:23:14.613606
amanda300,28,BLOCK1,1-back,1-back,2,1-back,same,3000,no response error,2025-10-12T15:20:43.852991,2025-10-12T15:23:18.619552
amanda300,29,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:23:22.627731
