participant_id,trial_number,block,type,condition,version,difficulty,correct,response_time_ms,error_type,start_time,end_time
amanda300,30,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:23:26.634499
amanda300,31,BLOCK1,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:23:30.642469
amanda300,32,BLOCK2,1-back,1-back,2,1-back,nogo,,,2025-10-12T15:20:43.852991,2025-10-12T15:24:17.168704
amanda300,33,BLOCK2,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:24:21.178977
amanda300,34,BLOCK2,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:24:25.189017
amanda300,35,BLOCK2,1-back,1-back,2,1-back,different,1241,response error,2025-10-12T15:20:43.852991,2025-10-12T15:24:29.197915
amanda300,36,BLOCK2,1-back,1-back,2,1-back,different,2610,response error,2025-10-12T15:20:43.852991,2025-10-12T15:24:33.207928
amanda300,37,BLOCK2,1-back,1-back,2,1-back,different,595,response error,2025-10-12T15:20:43.852991,2025-10-12T15:24:37.215779
amanda300,38,BLOCK2,1-back,1-back,2,1-back,same,1110,,2025-10-12T15:20:43.852991,2025-10-12T15:24:41.224746
amanda300,39,BLOCK2,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:24:45.230716
amanda300,40,BLOCK2,1-back,1-back,2,1-back,same,2196,,2025-10-12T15:20:43.852991,2025-10-12T15:24:49.235701
amanda300,41,BLOCK2,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:24:53.242649
amanda300,42,BLOCK2,1-back,1-back,2,1-back,same,615,,2025-10-12T15:20:43.852991,2025-10-12T15:24:57.252687
amanda300,43,BLOCK2,1-back,1-back,2,1-back,same,620,,2025-10-12T15:20:43.852991,2025-10-12T15:25:01.263584
amanda300,44,BLOCK2,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:25:05.276531
amanda300,45,BLOCK2,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:25:09.284471
amanda300,46,BLOCK2,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:25:13.289448
amanda300,47,BLOCK2,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:25:17.298386
amanda300,48,BLOCK2,1-back,1-back,2,1-back,same,3000,no response error,2025-10-12T15:20:43.852991,2025-10-12T15:25:21.303379
amanda300,49,BLOCK2,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:25:25.315476
amanda300,50,BLOCK2,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:25:29.326267
amanda300,51,BLOCK2,1-back,1-back,2,1-back,same,3000,no response error,2025-10-12T15:20:43.852991,2025-10-12T15:25:33.333233
amanda300,52,BLOCK2,1-back,1-back,2,1-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:25:37.341208
amanda300,53,PRACTICE2,2-back,2-back,2,2-back,nogo,,,2025-10-12T15:20:43.852991,2025-10-12T15:26:28.621397
amanda300,54,PRACTICE2,2-back,2-back,2,2-back,nogo,,,2025-10-12T15:20:43.852991,2025-10-12T15:26:33.634818
amanda300,55,PRACTICE2,2-back,2-back,2,2-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:26:38.644996
amanda300,56,PRACTICE2,2-back,2-back,2,2-back,same,1235,,2025-10-12T15:20:43.852991,2025-10-12T15:26:42.651718
amanda300,57,PRACTICE2,2-back,2-back,2,2-back,different,,,2025-10-12T15:20:43.852991,2025-10-12T15:26:47.660518
amanda300,58,PRACTICE2,2-back,2-back,2,2-back,different,1300,response error,2025-10-12T15:20:43.852991,2025-10-12T15:26:54.889580
