participant_id,trial_number,block,type,stimuli_path,condition,key_correct,key_response,correct,signal_detection,RT,trialDuration,start_time,end_time
amanda01,1,PRACTICE1,practice,attneave_6.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-11-27T23:08:42.807830,2025-11-27T23:08:59.808800
amanda01,2,PRACTICE1,practice,attneave_6.png,match,space,space,correct,hit,435,3000,2025-11-27T23:08:42.807830,2025-11-27T23:09:04.926927
amanda01,3,PRACTICE1,practice,attneave_3.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:42:16.868664
amanda01,4,PRACTICE1,practice,attneave_10.png,nonmatch,none,space,incorrect,false_alarm,587,3000,2025-12-19T14:41:12.573483,2025-12-19T14:42:18.476851
amanda01,5,PRACTICE1,practice,attneave_3.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:42:21.481958
amanda01,6,PRACTICE1,practice,attneave_3.png,match,space,space,correct,hit,311,3000,2025-12-19T14:41:12.573483,2025-12-19T14:42:24.490060
amanda01,7,PRACTICE1,practice,attneave_7.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:42:27.498147
amanda01,8,PRACTICE1,practice,attneave_2.png,nonmatch,none,space,incorrect,false_alarm,330,3000,2025-12-19T14:41:12.573483,2025-12-19T14:42:30.506245
amanda01,9,PRACTICE1,practice,attneave_2.png,match,space,none,incorrect,miss,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:42:33.511340
amanda01,10,PRACTICE1,practice,attneave_2.png,match,space,space,correct,hit,629,3000,2025-12-19T14:41:12.573483,2025-12-19T14:42:35.152356
amanda01,11,PRACTICE1,practice,attneave_4.png,nonmatch,none,space,incorrect,false_alarm,1109,3000,2025-12-19T14:41:12.573483,2025-12-19T14:42:37.270428
amanda01,12,PRACTICE1,practice,attneave_7.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:42:40.276519
amanda01,13,BLOCK1,null,attneave_8.png,nonmatch,none,space,incorrect,false_alarm,2894,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:07.038338
amanda01,14,BLOCK1,test,attneave_6.png,nonmatch,none,space,incorrect,false_alarm,401,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:10.046414
amanda01,15,BLOCK1,test,attneave_1.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:13.057525
amanda01,16,BLOCK1,test,attneave_1.png,match,space,none,incorrect,miss,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:16.068631
amanda01,17,BLOCK1,test,attneave_9.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:19.075725
amanda01,18,BLOCK1,test,attneave_9.png,match,space,none,incorrect,miss,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:22.083812
amanda01,19,BLOCK1,test,attneave_10.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:25.093895
amanda01,20,BLOCK1,test,attneave_10.png,match,space,none,incorrect,miss,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:28.099989
amanda01,21,BLOCK1,test,attneave_10.png,match,space,none,incorrect,miss,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:31.111082
amanda01,22,BLOCK1,test,attneave_1.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:34.121175
amanda01,23,BLOCK1,test,attneave_6.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:37.132275
amanda01,24,BLOCK1,test,attneave_4.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:40.142353
amanda01,25,BLOCK1,test,attneave_6.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:43.152450
amanda01,26,BLOCK1,test,attneave_2.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:46.162555
amanda01,27,BLOCK1,test,attneave_3.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:49.172637
amanda01,28,BLOCK1,test,attneave_1.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:52.182729
amanda01,29,BLOCK1,test,attneave_3.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:55.195825
amanda01,30,BLOCK1,test,attneave_8.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:43:58.206939
amanda01,31,BLOCK1,test,attneave_8.png,match,space,none,incorrect,miss,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:44:01.213050
amanda01,32,BLOCK1,test,attneave_10.png,nonmatch,none,none,correct,correct_rejection,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:44:04.224101
amanda01,33,BLOCK1,test,attneave_10.png,match,space,none,incorrect,miss,,3000,2025-12-19T14:41:12.573483,2025-12-19T14:44:07.230173
